Year_Month,Avg_Close,Total_Volume
1986-08,0.154921285,3643516800
1986-09,0.153300382,3578198400
1986-10,0.149699218,2984038400
1986-11,0.163210683,5206163200
1986-12,0.186942001,4762576000
1987-01,0.217554239,8268915200
1987-02,0.26956068,6616176000
1987-03,0.295632136,5959318400
1987-04,0.32230538,6813161600
1987-05,0.347405203,3838956800
1987-06,0.358005177,3497536000
1987-07,0.367745544,3070256000
1987-08,0.438031576,3119300800
1987-09,0.475233951,3075486400
1987-10,0.410105497,6575699200
1987-11,0.325558101,4234238400
1987-12,0.335988182,4702264000
1988-01,0.373772349,6221600000
1988-02,0.367578203,3368467200
1988-03,0.39314835,4882102400
1988-04,0.362109453,3297929600
1988-05,0.359003049,2638507200
1988-06,0.398336044,3534731200
1988-07,0.397879504,2186419200
1988-08,0.37631022,2653313600
1988-09,0.371385996,3060321600
1988-10,0.35459181,3563649600
1988-11,0.336947335,2939865600
1988-12,0.356451951,2946070400
1989-01,0.367772097,7345833600
1989-02,0.334292737,4886268800
1989-03,0.311485362,3859676800
1989-04,0.34274555,3966424000
1989-05,0.396459,5253382400
1989-06,0.405184685,3941280000
1989-07,0.357366049,3688630400
1989-08,0.3815023,3352305600
1989-09,0.400502454,2020849600
1989-10,0.418374639,4125049600
1989-11,0.399553669,2524939200
1989-12,0.3393415,5941185600
1990-01,0.312043546,3747497600
1990-02,0.302690316,2483891200
1990-03,0.344764635,4556473600
1990-04,0.364676452,3642475200
1990-05,0.36662964,4115630400
1990-06,0.361235241,3952054400
1990-07,0.391688001,4163812800
1990-08,0.34273109,3128339200
1990-09,0.294466524,2206948800
1990-10,0.258346215,5056116800
1990-11,0.315263618,3254608000
1990-12,0.371875101,4094092800
1991-01,0.437703047,7037307200
1991-02,0.522027733,5545780800
1991-03,0.58186385,5210598400
1991-04,0.578327954,7243051200
1991-05,0.432224001,7972843200
1991-06,0.391238852,4091662400
1991-07,0.403764272,3783494400
1991-08,0.464336412,4172649600
1991-09,0.448716497,2393070400
1991-10,0.454435129,3593990400
1991-11,0.459040046,3696033600
1991-12,0.458758529,2607169600
1992-01,0.558999636,4703160000
1992-02,0.582824374,2534996800
1992-03,0.565290088,2985662400
1992-04,0.514190201,3931390400
1992-05,0.540680897,2703724800
1992-06,0.449878227,4851683200
1992-07,0.413047862,3632809600
1992-08,0.397693526,2746531200
1992-09,0.419696048,3055662400
1992-10,0.422838865,3531427200
1992-11,0.499888395,3126547200
1992-12,0.518871817,3334318400
1993-01,0.542857042,5542264000
1993-02,0.499999997,4651281600
1993-03,0.487043731,3661526400
1993-04,0.4436651,3914411200
1993-05,0.49670765,3200545600
1993-06,0.402191591,7674396800
1993-07,0.283375858,7142912000
1993-08,0.249797092,3683164800
1993-09,0.224596048,3668022400
1993-10,0.237935856,5905323200
1993-11,0.287042951,3452108800
1993-12,0.265016225,3956971200
1994-01,0.286617762,7332035200
1994-02,0.32095863,4284459200
1994-03,0.318856784,5257985600
1994-04,0.279546469,4042136000
